dataset,size_pct,size_frac,control,control_label,n_seeds,n_train,auc_mean,auc_std,acc_mean,acc_std,sens_mean,sens_std,train_time_mean
Heart Disease,100,1.0,D,Control D (Frozen Feature Map),10,237,0.9452008928571425,0.013052151960963107,0.8516666666666663,0.019953649995631047,0.7678571428571425,0.03857583749052287,1.4382528066635127
Parkinson's,10,0.1,A,"Control A (Hybrid VQC, 73p)",10,15,0.7332758620689652,0.11357243784997377,0.7461538461538458,0.10841569552428428,0.8137931034482756,0.12077172907185008,0.7698600053787228
Parkinson's,10,0.1,B,"Control B (Classical MLP, 73p)",10,15,0.774827586206896,0.20109391680737698,0.7846153846153843,0.0766376470819139,0.8620689655172409,0.10782564965111344,0.017310237884521
Parkinson's,10,0.1,C,Control C (Ablated Entanglement),10,15,0.7910344827586202,0.18280704917526455,0.7897435897435893,0.07814789367974316,0.855172413793103,0.11238534769269268,0.6665118932723996
Parkinson's,10,0.1,D,Control D (Frozen Feature Map),10,15,0.7406896551724134,0.1430173308714059,0.7307692307692304,0.09912319234823241,0.8172413793103445,0.1227788523515089,0.6472625732421873
Parkinson's,25,0.25,A,"Control A (Hybrid VQC, 73p)",10,39,0.8765517241379307,0.07711949880574749,0.8230769230769226,0.07297563831157798,0.858620689655172,0.06790370339191695,0.8517148017883297
Parkinson's,25,0.25,B,"Control B (Classical MLP, 73p)",10,39,0.9006896551724133,0.050569487713384244,0.8666666666666663,0.03972290611494797,0.9172413793103444,0.04654817639383125,0.018115592002868202
Parkinson's,25,0.25,C,Control C (Ablated Entanglement),10,39,0.9089655172413786,0.05543996430338534,0.8641025641025637,0.0567588297978941,0.9206896551724135,0.05642729980980946,0.7386234045028682
Parkinson's,25,0.25,D,Control D (Frozen Feature Map),10,39,0.8837931034482756,0.04898359172104497,0.8564102564102558,0.05565408750803328,0.8896551724137929,0.08570736497612526,0.694845557212829
Parkinson's,50,0.5,A,"Control A (Hybrid VQC, 73p)",10,78,0.9403448275862066,0.036313472046622816,0.8820512820512818,0.038603725779953,0.9206896551724135,0.04612046585687097,0.9609539747238156
Parkinson's,50,0.5,B,"Control B (Classical MLP, 73p)",10,78,0.9368965517241374,0.03339471162375679,0.8923076923076918,0.041521223252961294,0.9448275862068961,0.03706785171631524,0.0165431737899776
Parkinson's,50,0.5,C,Control C (Ablated Entanglement),10,78,0.9244827586206892,0.07651150094411208,0.8820512820512816,0.055654087508033266,0.9551724137931032,0.03652930708522015,0.8593183279037471
Parkinson's,50,0.5,D,Control D (Frozen Feature Map),10,78,0.9144827586206892,0.04089111759882139,0.8461538461538458,0.0672992125983917,0.9068965517241377,0.08761305287429663,0.786886620521545
Parkinson's,100,1.0,A,"Control A (Hybrid VQC, 73p)",10,156,0.9513793103448271,0.015797804182555265,0.8589743589743584,0.04399841940592732,0.8827586206896548,0.059058540591563985,1.2705952405929561
Parkinson's,100,1.0,B,"Control B (Classical MLP, 73p)",10,156,0.9475862068965512,0.009309635278766359,0.8923076923076918,0.01081120567578948,0.9586206896551721,0.014539207632958184,0.021887850761413002
Parkinson's,100,1.0,C,Control C (Ablated Entanglement),10,156,0.941724137931034,0.04142558077128292,0.8743589743589739,0.049024377434871785,0.9551724137931032,0.036529307085220064,1.1622990846633907
Parkinson's,100,1.0,D,Control D (Frozen Feature Map),10,156,0.9365517241379306,0.018476810388423092,0.856410256410256,0.052963874819930534,0.9275862068965515,0.04725242480711371,1.0452167034149167
