dataset,pca_dim,size_frac,mean_auc_A,mean_auc_B,mean_diff_A_minus_B,p_raw,significant_holm
Parkinson's,4,0.1,0.7555172413793103,0.8189655172413793,-0.06344827586206897,0.001953125,True
Parkinson's,4,0.25,0.8951724137931034,0.8855172413793104,0.009655172413793068,0.30078125,False
Parkinson's,4,0.5,0.9055172413793103,0.9,0.005517241379310344,0.60546875,False
Parkinson's,4,1.0,0.8896551724137931,0.8844827586206897,0.005172413793103459,0.41796875,False
Parkinson's,6,0.1,0.7332758620689657,0.7748275862068965,-0.04155172413793101,0.083984375,False
Parkinson's,6,0.25,0.876551724137931,0.9006896551724137,-0.02413793103448274,0.13671875,False
Parkinson's,6,0.5,0.9403448275862069,0.936896551724138,0.003448275862068961,0.51953125,False
Parkinson's,6,1.0,0.9513793103448274,0.9475862068965517,0.0037931034482758695,0.4453125,False
Parkinson's,8,0.1,0.726551724137931,0.7603448275862069,-0.033793103448275845,0.375,False
Parkinson's,8,0.25,0.8548275862068966,0.8824137931034481,-0.027586206896551703,0.30859375,False
Parkinson's,8,0.5,0.9413793103448276,0.9244827586206897,0.016896551724137943,0.375,False
Parkinson's,8,1.0,0.9458620689655172,0.9420689655172414,0.0037931034482758695,0.76953125,False
Liver (ILPD),4,0.1,0.7303030303030302,0.7471339905074845,-0.016830960204454237,0.375,False
Liver (ILPD),4,0.25,0.7819277108433734,0.794961664841183,-0.013033953997809433,0.275390625,False
Liver (ILPD),4,0.5,0.7895217232566631,0.801350857977364,-0.011829134720700962,0.556640625,False
Liver (ILPD),4,1.0,0.8103322380430814,0.8027747353048558,0.0075575027382256185,0.6953125,False
Liver (ILPD),6,0.1,0.6345381526104419,0.736509675063892,-0.10197152245345018,0.001953125,True
Liver (ILPD),6,0.25,0.7295363271266886,0.7610806863818913,-0.031544359255202624,0.232421875,False
Liver (ILPD),6,0.5,0.7812705366922235,0.7669587440671778,0.014311792625045616,0.603515625,False
Liver (ILPD),6,1.0,0.8048192771084338,0.7868930266520627,0.017926250456370973,0.431640625,False
Liver (ILPD),8,0.1,0.6816721431179262,0.7238773274917853,-0.0422051843738591,0.02734375,False
Liver (ILPD),8,0.25,0.7124132895217233,0.7460752099306316,-0.03366192040890832,0.375,False
Liver (ILPD),8,0.5,0.7683461117196058,0.7866009492515517,-0.01825483753194589,0.275390625,False
Liver (ILPD),8,1.0,0.7897407813070465,0.7875136911281488,0.0022270901788974283,0.625,False
Kidney (CKD),4,0.1,0.9966183574879228,0.9942028985507246,0.002415458937198067,0.75,False
Kidney (CKD),4,0.25,1.0,1.0,0.0,1.0,False
Kidney (CKD),4,0.5,1.0,1.0,0.0,1.0,False
Kidney (CKD),4,1.0,1.0,1.0,0.0,1.0,False
Kidney (CKD),6,0.1,0.9212560386473431,0.9763285024154589,-0.055072463768115934,0.21875,False
Kidney (CKD),6,0.25,0.9966183574879226,1.0,-0.0033816425120772875,0.5,False
Kidney (CKD),6,0.5,0.9995169082125603,0.9995169082125603,0.0,1.0,False
Kidney (CKD),6,1.0,1.0,1.0,0.0,1.0,False
Kidney (CKD),8,0.1,0.9661835748792271,0.9130434782608695,0.0531400966183575,0.34375,False
Kidney (CKD),8,0.25,1.0,1.0,0.0,1.0,False
Kidney (CKD),8,0.5,1.0,1.0,0.0,1.0,False
Kidney (CKD),8,1.0,1.0,1.0,0.0,1.0,False
