dataset,seed,model,accuracy,auc_roc,recall_sensitivity,specificity,f1,time_sec
Liver (ILPD),3,QSVM (Fidelity Quantum Kernel),0.7068965517241379,0.6403797006206645,0.963855421686747,0.06060606060606061,0.8247422680412371,0.6295928955078125
Liver (ILPD),3,Classical SVM-RBF,0.7155172413793104,0.6575392479006936,1.0,0.0,0.8341708542713567,0.005988359451293945
Liver (ILPD),4,QSVM (Fidelity Quantum Kernel),0.6982758620689655,0.4925155166119021,0.9156626506024096,0.15151515151515152,0.8128342245989305,0.6221785545349121
Liver (ILPD),4,Classical SVM-RBF,0.7155172413793104,0.6688572471705002,1.0,0.0,0.8341708542713567,0.005253314971923828
Liver (ILPD),5,QSVM (Fidelity Quantum Kernel),0.7155172413793104,0.6232201533406352,0.9156626506024096,0.21212121212121213,0.8216216216216217,0.6083793640136719
Liver (ILPD),5,Classical SVM-RBF,0.7241379310344828,0.6524278933917489,0.9879518072289156,0.06060606060606061,0.8367346938775511,0.005233287811279297
Liver (ILPD),6,QSVM (Fidelity Quantum Kernel),0.6810344827586207,0.5304855786783498,0.9397590361445783,0.030303030303030304,0.8082901554404145,0.5947988033294678
Liver (ILPD),6,Classical SVM-RBF,0.7155172413793104,0.7046367287331142,1.0,0.0,0.8341708542713567,0.005005598068237305
Liver (ILPD),7,QSVM (Fidelity Quantum Kernel),0.6810344827586207,0.5848849945235488,0.9036144578313253,0.12121212121212122,0.8021390374331551,0.617220401763916
Liver (ILPD),7,Classical SVM-RBF,0.7155172413793104,0.6768893756845564,1.0,0.0,0.8341708542713567,0.00500035285949707
Liver (ILPD),8,QSVM (Fidelity Quantum Kernel),0.6551724137931034,0.48484848484848486,0.8674698795180723,0.12121212121212122,0.782608695652174,0.6636106967926025
Liver (ILPD),8,Classical SVM-RBF,0.7155172413793104,0.6600949251551661,1.0,0.0,0.8341708542713567,0.0063135623931884766
Liver (ILPD),9,QSVM (Fidelity Quantum Kernel),0.7155172413793104,0.6159182183278569,0.9518072289156626,0.12121212121212122,0.8272251308900523,0.6337473392486572
Liver (ILPD),9,Classical SVM-RBF,0.7155172413793104,0.6728733114275283,1.0,0.0,0.8341708542713567,0.006003379821777344
Kidney (17-feat ablated),0,QSVM (Fidelity Quantum Kernel),0.96875,0.9855072463768115,0.8888888888888888,1.0,0.9411764705882353,0.16681337356567383
Kidney (17-feat ablated),0,Classical SVM-RBF,1.0,1.0,1.0,1.0,1.0,0.0010004043579101562
Kidney (17-feat ablated),1,QSVM (Fidelity Quantum Kernel),1.0,1.0,1.0,1.0,1.0,0.17602252960205078
Kidney (17-feat ablated),1,Classical SVM-RBF,1.0,1.0,1.0,1.0,1.0,0.0010004043579101562
Kidney (17-feat ablated),2,QSVM (Fidelity Quantum Kernel),1.0,1.0,1.0,1.0,1.0,0.17229008674621582
Kidney (17-feat ablated),2,Classical SVM-RBF,1.0,1.0,1.0,1.0,1.0,0.0009996891021728516
Kidney (17-feat ablated),3,QSVM (Fidelity Quantum Kernel),1.0,1.0,1.0,1.0,1.0,0.17243456840515137
Kidney (17-feat ablated),3,Classical SVM-RBF,1.0,1.0,1.0,1.0,1.0,0.0010311603546142578
Kidney (17-feat ablated),4,QSVM (Fidelity Quantum Kernel),0.96875,0.9903381642512078,0.8888888888888888,1.0,0.9411764705882353,0.16747045516967773
Kidney (17-feat ablated),4,Classical SVM-RBF,1.0,1.0,1.0,1.0,1.0,0.0009865760803222656
Kidney (17-feat ablated),5,QSVM (Fidelity Quantum Kernel),0.9375,0.9855072463768115,0.7777777777777778,1.0,0.875,0.16729998588562012
Kidney (17-feat ablated),5,Classical SVM-RBF,1.0,1.0,1.0,1.0,1.0,0.0010073184967041016
Kidney (17-feat ablated),6,QSVM (Fidelity Quantum Kernel),1.0,1.0,1.0,1.0,1.0,0.17396855354309082
Kidney (17-feat ablated),6,Classical SVM-RBF,1.0,1.0,1.0,1.0,1.0,0.0009996891021728516
Kidney (17-feat ablated),7,QSVM (Fidelity Quantum Kernel),0.96875,1.0,0.8888888888888888,1.0,0.9411764705882353,0.17187929153442383
Kidney (17-feat ablated),7,Classical SVM-RBF,1.0,1.0,1.0,1.0,1.0,0.001313924789428711
Kidney (17-feat ablated),8,QSVM (Fidelity Quantum Kernel),1.0,1.0,1.0,1.0,1.0,0.17269134521484375
Kidney (17-feat ablated),8,Classical SVM-RBF,1.0,1.0,1.0,1.0,1.0,0.0009992122650146484
Kidney (17-feat ablated),9,QSVM (Fidelity Quantum Kernel),1.0,1.0,1.0,1.0,1.0,0.17194890975952148
Kidney (17-feat ablated),9,Classical SVM-RBF,1.0,1.0,1.0,1.0,1.0,0.0011186599731445312
