missing_rate,missing_pct,seed,model,auc_roc,accuracy,sensitivity,f1,mean_abs_delta_p,class_flips_50,class_flips_tau10,zero_miss_fn
0.1,10%,202,Control B (Classical MLP),0.9976851851851852,0.9736842105263158,0.9285714285714286,0.9629629629629629,0.022857535630464554,2,0,0
0.1,10%,303,Control A (Hybrid Quantum),0.9976851851851852,0.9649122807017544,0.9285714285714286,0.9512195121951219,0.014872047118842602,2,2,0
0.1,10%,303,Control B (Classical MLP),0.9970238095238095,0.9736842105263158,0.9523809523809523,0.963855421686747,0.015043811872601509,0,1,0
0.1,10%,404,Control A (Hybrid Quantum),0.9986772486772486,0.9736842105263158,0.9285714285714286,0.9629629629629629,0.01648576743900776,1,4,0
0.1,10%,404,Control B (Classical MLP),0.9983465608465609,0.9736842105263158,0.9285714285714286,0.9629629629629629,0.01850353367626667,2,1,0
0.15,15%,42,Control A (Hybrid Quantum),0.996362433862434,0.956140350877193,0.8809523809523809,0.9367088607594937,0.026783013716340065,5,2,0
0.15,15%,42,Control B (Classical MLP),0.996031746031746,0.9473684210526315,0.8809523809523809,0.925,0.02590647153556347,5,1,0
0.15,15%,101,Control A (Hybrid Quantum),0.996031746031746,0.956140350877193,0.8809523809523809,0.9367088607594937,0.030405523255467415,3,4,2
0.15,15%,101,Control B (Classical MLP),0.9963624338624338,0.956140350877193,0.8809523809523809,0.9367088607594937,0.030419550836086273,4,2,0
0.15,15%,202,Control A (Hybrid Quantum),0.9986772486772486,0.9649122807017544,0.9047619047619048,0.95,0.017611095681786537,2,2,1
0.15,15%,202,Control B (Classical MLP),0.9983465608465609,0.9649122807017544,0.9047619047619048,0.95,0.018860066309571266,3,2,0
0.15,15%,303,Control A (Hybrid Quantum),0.9973544973544973,0.956140350877193,0.9047619047619048,0.9382716049382716,0.022681936621665955,5,4,0
0.15,15%,303,Control B (Classical MLP),0.9973544973544974,0.9649122807017544,0.9285714285714286,0.9512195121951219,0.02458004839718342,5,1,0
0.15,15%,404,Control A (Hybrid Quantum),0.9976851851851852,0.9736842105263158,0.9285714285714286,0.9629629629629629,0.01818489283323288,3,1,1
0.15,15%,404,Control B (Classical MLP),0.9966931216931216,0.9736842105263158,0.9523809523809523,0.963855421686747,0.019666792824864388,2,2,1
0.2,20%,42,Control A (Hybrid Quantum),0.9930555555555556,0.9473684210526315,0.8809523809523809,0.925,0.03917641565203667,4,5,1
0.2,20%,42,Control B (Classical MLP),0.9923941798941799,0.9473684210526315,0.9047619047619048,0.926829268292683,0.041095711290836334,3,3,0
0.2,20%,101,Control A (Hybrid Quantum),0.9927248677248678,0.9385964912280702,0.8571428571428571,0.9113924050632911,0.0377381406724453,5,6,2
0.2,20%,101,Control B (Classical MLP),0.9910714285714286,0.9385964912280702,0.8571428571428571,0.9113924050632911,0.038691628724336624,4,6,2
0.2,20%,202,Control A (Hybrid Quantum),0.994047619047619,0.9473684210526315,0.9047619047619048,0.926829268292683,0.025361422449350357,4,4,2
0.2,20%,202,Control B (Classical MLP),0.9930555555555556,0.9473684210526315,0.9047619047619048,0.926829268292683,0.02590041793882847,3,1,0
0.2,20%,303,Control A (Hybrid Quantum),0.9957010582010583,0.9385964912280702,0.8333333333333334,0.9090909090909091,0.042218342423439026,5,4,1
0.2,20%,303,Control B (Classical MLP),0.9957010582010583,0.9473684210526315,0.8571428571428571,0.9230769230769231,0.04410542547702789,5,2,1
0.2,20%,404,Control A (Hybrid Quantum),0.9957010582010581,0.956140350877193,0.8809523809523809,0.9367088607594937,0.03783668577671051,3,2,1
0.2,20%,404,Control B (Classical MLP),0.9957010582010583,0.956140350877193,0.8809523809523809,0.9367088607594937,0.04002455994486809,4,2,0
0.3,30%,42,Control A (Hybrid Quantum),0.9923941798941799,0.9210526315789473,0.7857142857142857,0.88,0.04925333708524704,7,3,1
0.3,30%,42,Control B (Classical MLP),0.9910714285714286,0.9210526315789473,0.8095238095238095,0.8831168831168831,0.05184297636151314,6,1,0
0.3,30%,101,Control A (Hybrid Quantum),0.9950396825396826,0.9385964912280702,0.8571428571428571,0.9113924050632911,0.0429329052567482,5,6,2
0.3,30%,101,Control B (Classical MLP),0.9947089947089947,0.9473684210526315,0.8809523809523809,0.925,0.04401818662881851,3,4,0
0.3,30%,202,Control A (Hybrid Quantum),0.9917328042328042,0.9298245614035088,0.8095238095238095,0.8947368421052632,0.06167169287800789,6,5,2
0.3,30%,202,Control B (Classical MLP),0.9907407407407407,0.9298245614035088,0.8095238095238095,0.8947368421052632,0.06326407939195633,7,3,1
0.3,30%,303,Control A (Hybrid Quantum),0.996362433862434,0.9473684210526315,0.8809523809523809,0.925,0.035432204604148865,4,5,1
0.3,30%,303,Control B (Classical MLP),0.9957010582010581,0.956140350877193,0.9047619047619048,0.9382716049382716,0.040067873895168304,2,3,0
0.3,30%,404,Control A (Hybrid Quantum),0.9933862433862434,0.9385964912280702,0.8571428571428571,0.9113924050632911,0.04240553826093674,5,6,2
0.3,30%,404,Control B (Classical MLP),0.99239417989418,0.9385964912280702,0.8571428571428571,0.9113924050632911,0.04337151348590851,4,3,1
